amount,claim_type,days_since_policy_start,has_witnesses,prior_claims_count,description,is_fraud
2896.15,AUTO,280,1,1,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at Riverside Medical.",0
1060.56,AUTO,742,1,1,"Kitchen fire started from an unattended pan, contained by smoke detector and extinguisher.",0
1197.94,LIFE,1136,0,0,"Deer collision on the highway near exit 103; airbag deployed, vehicle towed.",0
7063.12,LIFE,447,1,1,Water damage in the kitchen ceiling from a burst pipe in the upstairs bathroom on June 24.,0
638.69,LIFE,791,0,0,"Minor parking lot collision at Costco; both drivers exchanged details, insurance info noted.",0
161.94,AUTO,1494,1,1,Rear-end collision at the intersection of Elm Blvd and Maple Ave; minor whiplash and bumper damage.,0
9053.77,AUTO,329,0,1,"Deer collision on the highway near exit 117; airbag deployed, vehicle towed.",0
23140.23,PROPERTY,347,1,0,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",0
1205.6,PROPERTY,354,0,1,Lightning strike damaged HVAC unit on June 24; technician assessment attached.,0
260.65,AUTO,1369,1,1,Rear-end collision at the intersection of Oak Ave and Cedar Lane; minor whiplash and bumper damage.,0
1325.46,HEALTH,793,0,0,Rear-end collision at the intersection of Elm Blvd and Cedar Lane; minor whiplash and bumper damage.,0
1358.01,AUTO,1377,1,0,"Broken items, unwitnessed accident at home.",1
1495.29,HEALTH,1421,1,0,"Deer collision on the highway near exit 57; airbag deployed, vehicle towed.",0
593.84,AUTO,632,0,0,Lightning strike damaged HVAC unit on July 5; technician assessment attached.,0
3227.82,AUTO,83,1,0,"Deer collision on the highway near exit 77; airbag deployed, vehicle towed.",0
3054.92,AUTO,456,0,0,"Side-swipe accident on highway; dashcam footage available, other driver's insurance contacted.",0
405.69,PROPERTY,816,0,0,"Kitchen fire started from an unattended pan, contained by smoke detector and extinguisher.",0
3638.03,PROPERTY,572,0,0,"Bicycle accident; broken collarbone, treated at St. Luke's, X-rays and follow-up scheduled.",0
14082.46,PROPERTY,4,0,0,Car was damaged.,1
2147.29,HEALTH,1484,0,0,"Bicycle accident; broken collarbone, treated at Riverside Medical, X-rays and follow-up scheduled.",0
1290.36,HEALTH,455,1,0,Backyard fence damaged by neighbour's tree falling during high winds on April 3.,0
1568.69,AUTO,928,1,0,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",0
3345.12,HEALTH,1420,1,0,"Side-swipe accident on highway; dashcam footage available, other driver's insurance contacted.",0
320.32,AUTO,817,1,0,"Bicycle accident; broken collarbone, treated at City General, X-rays and follow-up scheduled.",0
2131.09,PROPERTY,1041,1,0,Water damage in the kitchen ceiling from a burst pipe in the upstairs bathroom on July 5.,0
1223.58,PROPERTY,54,0,1,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",0
11473.84,PROPERTY,1045,1,0,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at Mercy General.",0
1519.03,AUTO,1271,1,1,Hailstorm on March 12 caused dents on the hood and cracked the windshield.,0
9584.36,HEALTH,1377,0,0,Hailstorm on August 11 caused dents on the hood and cracked the windshield.,0
599.6,AUTO,126,1,1,Water damage in the kitchen ceiling from a burst pipe in the upstairs bathroom on June 24.,0
3252.76,AUTO,343,1,2,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at Riverside Medical.",0
2488.41,PROPERTY,71,1,1,Lightning strike damaged HVAC unit on July 5; technician assessment attached.,0
758.2,HEALTH,1376,1,1,Lightning strike damaged HVAC unit on March 12; technician assessment attached.,0
2158.99,PROPERTY,413,0,0,"Lost expensive jewellery, no receipt, not sure when.",0
6078.53,AUTO,797,1,0,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at Mercy General.",0
1307.94,LIFE,714,0,0,Front-end collision when the other driver ran a red light at 5th Ave; police report filed.,0
332.96,LIFE,1033,0,0,"Vehicle disappeared from parking lot, no security camera footage.",0
1776.57,HEALTH,1343,1,1,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at Riverside Medical.",0
733.32,PROPERTY,486,0,1,"Vehicle disappeared from parking lot, no security camera footage.",1
1283.9,AUTO,1185,1,0,Water damage in the kitchen ceiling from a burst pipe in the upstairs bathroom on July 5.,0
1666.39,PROPERTY,437,1,0,Front-end collision when the other driver ran a red light at Pine Rd; police report filed.,0
328.44,PROPERTY,297,1,0,"Kitchen fire started from an unattended pan, contained by smoke detector and extinguisher.",0
359.37,PROPERTY,160,1,0,"Burglary while on vacation; entry through the back window, electronics and jewellery taken, police report #PR-35239.",0
2927.98,PROPERTY,558,1,0,Hailstorm on June 24 caused dents on the hood and cracked the windshield.,0
1072.0,HEALTH,841,1,0,"Vehicle disappeared from parking lot, no security camera footage.",1
139.11,PROPERTY,1170,1,1,"Deer collision on the highway near exit 51; airbag deployed, vehicle towed.",0
3963.35,HEALTH,1272,1,1,"Minor parking lot collision at Costco; both drivers exchanged details, insurance info noted.",0
2374.09,AUTO,791,1,0,Car was damaged.,0
885.48,AUTO,614,0,2,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",0
484.53,PROPERTY,262,0,1,"Minor parking lot collision at Walmart; both drivers exchanged details, insurance info noted.",0
4170.57,HEALTH,1371,0,1,"Minor parking lot collision at Target; both drivers exchanged details, insurance info noted.",0
2564.07,HEALTH,594,1,0,Hailstorm on June 24 caused dents on the hood and cracked the windshield.,0
19586.63,PROPERTY,1147,0,1,Rear-end collision at the intersection of 5th Ave and Maple Ave; minor whiplash and bumper damage.,0
2752.29,HEALTH,939,1,1,"Bicycle accident; broken collarbone, treated at City General, X-rays and follow-up scheduled.",0
2664.32,AUTO,1397,1,0,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",0
1530.08,HEALTH,1459,1,1,"Burglary while on vacation; entry through the back window, electronics and jewellery taken, police report #PR-27900.",0
4091.95,HEALTH,1060,1,0,"Damage occurred while alone, nobody saw, no police report.",1
3378.16,PROPERTY,993,1,1,Front-end collision when the other driver ran a red light at Main St; police report filed.,0
6321.58,HEALTH,206,1,1,Front-end collision when the other driver ran a red light at Elm Blvd; police report filed.,0
1073.5,HEALTH,25,1,1,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at St. Luke's.",0
1169.81,PROPERTY,819,0,1,Backyard fence damaged by neighbour's tree falling during high winds on April 3.,0
1119.79,PROPERTY,1057,1,0,Hailstorm on August 11 caused dents on the hood and cracked the windshield.,0
3987.03,PROPERTY,1119,0,0,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at Mercy General.",0
8089.92,AUTO,377,0,0,Water damage in the kitchen ceiling from a burst pipe in the upstairs bathroom on June 24.,0
1142.71,PROPERTY,755,0,0,"Vehicle stolen, no GPS data, no security footage available.",1
1182.31,HEALTH,1293,1,0,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",0
2475.2,AUTO,144,1,1,"Bicycle accident; broken collarbone, treated at Riverside Medical, X-rays and follow-up scheduled.",0
1414.09,HEALTH,576,0,0,Lightning strike damaged HVAC unit on April 3; technician assessment attached.,0
4684.68,PROPERTY,1416,1,0,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",0
190.23,HEALTH,300,0,1,Tree branch fell during the storm on May 18 and dented the roof above the garage.,0
791.0,PROPERTY,475,0,0,Rear-end collision at the intersection of Oak Ave and Maple Ave; minor whiplash and bumper damage.,0
826.82,AUTO,702,0,2,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",0
177.62,AUTO,1032,0,2,"Broken items, unwitnessed accident at home.",1
689.77,AUTO,383,1,1,Backyard fence damaged by neighbour's tree falling during high winds on August 11.,0
724.04,HEALTH,1188,0,1,Rear-end collision at the intersection of Main St and Walnut Rd; minor whiplash and bumper damage.,0
1478.67,HEALTH,354,0,2,"Damage occurred while alone, nobody saw, no police report.",0
5502.54,PROPERTY,552,0,0,"Bicycle accident; broken collarbone, treated at Mercy General, X-rays and follow-up scheduled.",0
1415.08,PROPERTY,860,1,1,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",0
644.96,AUTO,19,1,0,"Minor parking lot collision at Walmart; both drivers exchanged details, insurance info noted.",0
1707.94,AUTO,1151,1,1,"Side-swipe accident on highway; dashcam footage available, other driver's insurance contacted.",0
5162.49,AUTO,1003,1,0,Hailstorm on July 5 caused dents on the hood and cracked the windshield.,0
681.33,HEALTH,1252,1,0,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at City General.",0
727.36,AUTO,413,0,0,Front-end collision when the other driver ran a red light at Pine Rd; police report filed.,0
3160.7,HEALTH,597,0,1,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at Mercy General.",0
1448.76,PROPERTY,1347,1,0,"Burglary while on vacation; entry through the back window, electronics and jewellery taken, police report #PR-53882.",0
3454.68,HEALTH,101,0,1,Water damage in the kitchen ceiling from a burst pipe in the upstairs bathroom on June 24.,0
1783.54,AUTO,737,1,1,Lightning strike damaged HVAC unit on August 11; technician assessment attached.,0
3647.01,AUTO,726,1,0,Water damage in the kitchen ceiling from a burst pipe in the upstairs bathroom on April 3.,0
642.21,HEALTH,671,0,0,Rear-end collision at the intersection of Oak Ave and Maple Ave; minor whiplash and bumper damage.,0
1786.32,HEALTH,651,1,2,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at Riverside Medical.",0
1464.56,AUTO,1121,0,0,"Deer collision on the highway near exit 65; airbag deployed, vehicle towed.",0
535.99,PROPERTY,296,0,0,"Side-swipe accident on highway; dashcam footage available, other driver's insurance contacted.",0
378.62,HEALTH,1336,1,0,Front-end collision when the other driver ran a red light at Oak Ave; police report filed.,0
3589.43,HEALTH,1344,1,0,Lightning strike damaged HVAC unit on July 5; technician assessment attached.,0
1272.89,AUTO,269,0,2,"Bicycle accident; broken collarbone, treated at Mercy General, X-rays and follow-up scheduled.",0
650.49,AUTO,1461,0,0,Hailstorm on May 18 caused dents on the hood and cracked the windshield.,0
1642.25,AUTO,393,0,0,"Items missing after recent move, exact value uncertain.",1
5586.0,AUTO,78,0,0,"House contents destroyed, fire of unknown origin, no smoke alarm activated.",0
184.8,HEALTH,597,0,0,"Kitchen fire started from an unattended pan, contained by smoke detector and extinguisher.",0
404.79,HEALTH,1193,0,1,Tree branch fell during the storm on March 12 and dented the roof above the garage.,0
718.46,PROPERTY,1267,1,0,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at St. Luke's.",0
7794.54,PROPERTY,968,1,0,Tree branch fell during the storm on April 3 and dented the roof above the garage.,0
2398.47,AUTO,1216,1,0,"Bicycle accident; broken collarbone, treated at Mercy General, X-rays and follow-up scheduled.",0
3894.49,AUTO,392,1,3,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at Riverside Medical.",0
578.15,PROPERTY,1318,1,0,"Kitchen fire started from an unattended pan, contained by smoke detector and extinguisher.",0
590.2,LIFE,953,1,1,Tree branch fell during the storm on June 24 and dented the roof above the garage.,0
2829.38,PROPERTY,201,1,0,"Minor parking lot collision at Walmart; both drivers exchanged details, insurance info noted.",0
1916.54,AUTO,193,1,0,Rear-end collision at the intersection of 5th Ave and Cedar Lane; minor whiplash and bumper damage.,0
3129.85,AUTO,401,1,1,Hailstorm on June 24 caused dents on the hood and cracked the windshield.,0
1498.66,AUTO,105,1,0,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at City General.",0
2387.84,PROPERTY,424,1,3,"Deer collision on the highway near exit 31; airbag deployed, vehicle towed.",0
2117.77,HEALTH,1490,0,0,"Kitchen fire started from an unattended pan, contained by smoke detector and extinguisher.",0
3935.4,HEALTH,360,0,1,Lightning strike damaged HVAC unit on June 24; technician assessment attached.,0
4052.17,HEALTH,954,1,0,Front-end collision when the other driver ran a red light at Main St; police report filed.,0
357.86,AUTO,1466,0,1,"Bicycle accident; broken collarbone, treated at St. Luke's, X-rays and follow-up scheduled.",0
191.09,HEALTH,380,0,0,"Minor parking lot collision at Walmart; both drivers exchanged details, insurance info noted.",0
4923.35,AUTO,1044,0,1,Water damage in the kitchen ceiling from a burst pipe in the upstairs bathroom on March 12.,0
5929.68,HEALTH,675,0,1,"Bicycle accident; broken collarbone, treated at Riverside Medical, X-rays and follow-up scheduled.",0
651.56,PROPERTY,428,1,0,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",1
281.51,HEALTH,1425,0,0,"Deer collision on the highway near exit 162; airbag deployed, vehicle towed.",0
1996.27,AUTO,985,0,0,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at Mercy General.",0
4586.34,PROPERTY,658,1,0,Front-end collision when the other driver ran a red light at Oak Ave; police report filed.,0
10911.74,PROPERTY,1218,0,2,Rear-end collision at the intersection of Pine Rd and Birch St; minor whiplash and bumper damage.,0
3029.94,AUTO,1350,1,0,Water damage in the kitchen ceiling from a burst pipe in the upstairs bathroom on March 12.,0
1246.73,AUTO,1172,1,1,"Burglary while on vacation; entry through the back window, electronics and jewellery taken, police report #PR-66071.",0
740.16,HEALTH,1303,0,0,Front-end collision when the other driver ran a red light at 5th Ave; police report filed.,0
1828.87,AUTO,483,1,0,Water damage in the kitchen ceiling from a burst pipe in the upstairs bathroom on March 12.,0
1340.42,AUTO,516,0,0,"Deer collision on the highway near exit 62; airbag deployed, vehicle towed.",0
655.19,AUTO,349,1,0,Water damage in the kitchen ceiling from a burst pipe in the upstairs bathroom on May 18.,0
14027.23,AUTO,1044,1,0,"Bicycle accident; broken collarbone, treated at St. Luke's, X-rays and follow-up scheduled.",0
10776.99,HEALTH,1204,1,1,Water damage in the kitchen ceiling from a burst pipe in the upstairs bathroom on June 24.,0
5631.04,HEALTH,991,0,0,Lightning strike damaged HVAC unit on April 3; technician assessment attached.,1
719.93,AUTO,899,1,0,Rear-end collision at the intersection of Elm Blvd and Cedar Lane; minor whiplash and bumper damage.,0
4251.47,PROPERTY,1157,1,0,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",0
3427.64,AUTO,273,1,1,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",0
2814.52,AUTO,549,0,1,"Minor parking lot collision at Home Depot; both drivers exchanged details, insurance info noted.",0
6308.58,AUTO,1060,1,0,Lightning strike damaged HVAC unit on August 11; technician assessment attached.,0
3413.08,PROPERTY,79,0,0,Tree branch fell during the storm on May 18 and dented the roof above the garage.,0
3789.59,LIFE,1366,0,0,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at City General.",0
3418.33,HEALTH,257,1,0,Water damage in the kitchen ceiling from a burst pipe in the upstairs bathroom on March 12.,0
2542.22,AUTO,1180,1,0,Rear-end collision at the intersection of 5th Ave and Birch St; minor whiplash and bumper damage.,0
303.81,AUTO,925,0,0,Backyard fence damaged by neighbour's tree falling during high winds on July 5.,0
1965.73,AUTO,1271,1,0,Hailstorm on March 12 caused dents on the hood and cracked the windshield.,0
1036.71,PROPERTY,1162,1,0,"Burglary while on vacation; entry through the back window, electronics and jewellery taken, police report #PR-79715.",0
502.78,AUTO,774,1,0,Front-end collision when the other driver ran a red light at Oak Ave; police report filed.,0
9718.79,LIFE,1134,1,0,Front-end collision when the other driver ran a red light at Pine Rd; police report filed.,0
10188.3,HEALTH,520,1,1,"Minor parking lot collision at Target; both drivers exchanged details, insurance info noted.",0
7038.99,HEALTH,875,1,0,Front-end collision when the other driver ran a red light at Main St; police report filed.,0
2333.71,PROPERTY,1372,0,0,Front-end collision when the other driver ran a red light at 5th Ave; police report filed.,0
6978.75,AUTO,128,0,0,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at Mercy General.",0
1829.97,PROPERTY,534,1,1,"Burglary while on vacation; entry through the back window, electronics and jewellery taken, police report #PR-68158.",0
2214.53,AUTO,26,0,2,Rear-end collision at the intersection of 5th Ave and Cedar Lane; minor whiplash and bumper damage.,0
605.79,PROPERTY,801,0,1,Front-end collision when the other driver ran a red light at Oak Ave; police report filed.,0
2689.18,HEALTH,1173,1,1,Water damage in the kitchen ceiling from a burst pipe in the upstairs bathroom on May 18.,0
1920.59,AUTO,58,0,1,"Kitchen fire started from an unattended pan, contained by smoke detector and extinguisher.",0
491.44,PROPERTY,824,0,0,Rear-end collision at the intersection of 5th Ave and Maple Ave; minor whiplash and bumper damage.,0
1717.81,AUTO,623,1,1,Hailstorm on April 3 caused dents on the hood and cracked the windshield.,0
1669.48,AUTO,1174,0,0,Front-end collision when the other driver ran a red light at Main St; police report filed.,0
10911.38,PROPERTY,330,1,0,"Deer collision on the highway near exit 105; airbag deployed, vehicle towed.",0
4421.41,HEALTH,245,0,0,"Bicycle accident; broken collarbone, treated at City General, X-rays and follow-up scheduled.",0
1828.86,PROPERTY,142,1,0,Lightning strike damaged HVAC unit on April 3; technician assessment attached.,0
2318.76,HEALTH,611,0,0,"Burglary while on vacation; entry through the back window, electronics and jewellery taken, police report #PR-24553.",0
1889.77,HEALTH,731,1,0,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at Riverside Medical.",0
1475.99,AUTO,1378,0,1,"Broken items, unwitnessed accident at home.",1
612.51,AUTO,699,0,1,Front-end collision when the other driver ran a red light at Pine Rd; police report filed.,0
1554.56,LIFE,258,1,1,"Side-swipe accident on highway; dashcam footage available, other driver's insurance contacted.",0
857.4,AUTO,1048,0,1,"Kitchen fire started from an unattended pan, contained by smoke detector and extinguisher.",1
517.85,HEALTH,93,1,0,Hailstorm on May 18 caused dents on the hood and cracked the windshield.,0
3014.6,AUTO,518,0,2,"Side-swipe accident on highway; dashcam footage available, other driver's insurance contacted.",0
2673.82,AUTO,980,0,1,"Burglary while on vacation; entry through the back window, electronics and jewellery taken, police report #PR-40400.",0
302.87,HEALTH,381,0,0,Water damage in the kitchen ceiling from a burst pipe in the upstairs bathroom on August 11.,0
1599.29,PROPERTY,892,1,1,"Bicycle accident; broken collarbone, treated at St. Luke's, X-rays and follow-up scheduled.",0
4893.69,PROPERTY,680,0,0,"Burglary while on vacation; entry through the back window, electronics and jewellery taken, police report #PR-89708.",0
5214.63,PROPERTY,1428,0,0,Backyard fence damaged by neighbour's tree falling during high winds on August 11.,0
5043.41,AUTO,431,1,0,Lightning strike damaged HVAC unit on March 12; technician assessment attached.,0
1879.79,HEALTH,1359,0,0,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at St. Luke's.",0
776.62,AUTO,939,1,0,"Burglary while on vacation; entry through the back window, electronics and jewellery taken, police report #PR-50999.",0
611.74,PROPERTY,1124,1,1,Hailstorm on April 3 caused dents on the hood and cracked the windshield.,0
2551.93,AUTO,254,1,2,Hailstorm on March 12 caused dents on the hood and cracked the windshield.,0
2641.97,HEALTH,29,1,0,"Fire damage, unknown cause, total loss.",1
6550.73,AUTO,1096,0,0,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at St. Luke's.",0
5431.55,PROPERTY,721,1,1,"Burglary while on vacation; entry through the back window, electronics and jewellery taken, police report #PR-19797.",0
1584.1,PROPERTY,463,1,0,Front-end collision when the other driver ran a red light at Elm Blvd; police report filed.,0
521.02,PROPERTY,1344,0,0,Water damage in the kitchen ceiling from a burst pipe in the upstairs bathroom on August 11.,0
1314.08,AUTO,490,1,0,"Bicycle accident; broken collarbone, treated at Riverside Medical, X-rays and follow-up scheduled.",0
2246.73,LIFE,651,1,1,"Kitchen fire started from an unattended pan, contained by smoke detector and extinguisher.",0
1477.22,AUTO,1086,1,0,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at Riverside Medical.",0
1014.45,AUTO,1443,0,0,"Lost expensive jewellery, no receipt, not sure when.",1
2328.28,AUTO,1348,1,0,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",0
1092.3,AUTO,979,1,0,Lightning strike damaged HVAC unit on April 3; technician assessment attached.,0
964.81,HEALTH,166,1,3,"Sudden mechanical failure, vehicle written off, no third party.",1
2468.71,AUTO,165,0,0,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at Riverside Medical.",0
1209.55,AUTO,1039,0,0,"Side-swipe accident on highway; dashcam footage available, other driver's insurance contacted.",0
2307.93,HEALTH,764,0,1,"Property damage but no witnesses, claim is for full replacement value.",1
2376.07,PROPERTY,200,0,1,Front-end collision when the other driver ran a red light at Pine Rd; police report filed.,0
578.58,HEALTH,1043,1,0,"Kitchen fire started from an unattended pan, contained by smoke detector and extinguisher.",0
1117.4,HEALTH,1413,0,1,Front-end collision when the other driver ran a red light at Elm Blvd; police report filed.,0
7614.25,AUTO,98,0,1,"Damage occurred while alone, nobody saw, no police report.",1
565.62,PROPERTY,1238,1,0,Water damage in the kitchen ceiling from a burst pipe in the upstairs bathroom on April 3.,0
217.75,AUTO,517,1,3,Water damage in the kitchen ceiling from a burst pipe in the upstairs bathroom on April 3.,0
280.94,AUTO,597,0,0,Lightning strike damaged HVAC unit on July 5; technician assessment attached.,0
1861.45,AUTO,1075,1,1,"Property damage but no witnesses, claim is for full replacement value.",1
1864.82,HEALTH,371,0,0,Front-end collision when the other driver ran a red light at Oak Ave; police report filed.,0
1607.43,AUTO,236,1,0,"Deer collision on the highway near exit 180; airbag deployed, vehicle towed.",0
6088.7,HEALTH,1445,0,0,Rear-end collision at the intersection of Main St and Birch St; minor whiplash and bumper damage.,0
124.86,AUTO,523,1,1,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at Mercy General.",0
2686.34,HEALTH,255,1,0,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",0
8616.53,HEALTH,1035,0,0,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",0
585.36,AUTO,325,1,0,Water damage in the kitchen ceiling from a burst pipe in the upstairs bathroom on April 3.,0
1236.69,HEALTH,1163,0,0,"Side-swipe accident on highway; dashcam footage available, other driver's insurance contacted.",0
851.59,HEALTH,106,1,0,Rear-end collision at the intersection of Elm Blvd and Walnut Rd; minor whiplash and bumper damage.,0
739.26,HEALTH,778,0,0,Tree branch fell during the storm on June 24 and dented the roof above the garage.,0
1304.71,AUTO,605,1,0,Lightning strike damaged HVAC unit on May 18; technician assessment attached.,0
7536.29,HEALTH,1435,1,1,Rear-end collision at the intersection of Oak Ave and Cedar Lane; minor whiplash and bumper damage.,0
11354.7,AUTO,782,1,0,"Cash and gold coins stolen from home safe, exact amounts approximate.",1
1292.15,AUTO,1388,0,0,"Minor parking lot collision at Target; both drivers exchanged details, insurance info noted.",0
12149.71,AUTO,373,1,1,Rear-end collision at the intersection of Pine Rd and Maple Ave; minor whiplash and bumper damage.,0
1873.52,HEALTH,710,1,0,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",0
10443.04,AUTO,1220,0,1,Backyard fence damaged by neighbour's tree falling during high winds on April 3.,0
1646.98,HEALTH,241,1,0,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",0
2061.23,AUTO,1391,0,1,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at City General.",0
2605.75,PROPERTY,1159,0,0,Lightning strike damaged HVAC unit on June 24; technician assessment attached.,0
43427.74,AUTO,1015,1,1,Hailstorm on March 12 caused dents on the hood and cracked the windshield.,0
4235.62,HEALTH,365,0,3,"Vehicle disappeared from parking lot, no security camera footage.",1
891.35,PROPERTY,1227,0,1,"Items missing after recent move, exact value uncertain.",0
4764.74,AUTO,1264,1,0,"Bicycle accident; broken collarbone, treated at City General, X-rays and follow-up scheduled.",0
1259.12,AUTO,439,1,1,Hailstorm on May 18 caused dents on the hood and cracked the windshield.,0
1107.93,HEALTH,881,0,1,"Total loss, no documentation available.",0
4485.48,LIFE,91,0,0,Backyard fence damaged by neighbour's tree falling during high winds on July 5.,0
1865.13,LIFE,591,1,0,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",0
2388.87,AUTO,226,1,0,"Burglary while on vacation; entry through the back window, electronics and jewellery taken, police report #PR-52985.",0
1833.51,PROPERTY,835,1,0,Lightning strike damaged HVAC unit on April 3; technician assessment attached.,0
2531.54,AUTO,823,1,0,"Kitchen fire started from an unattended pan, contained by smoke detector and extinguisher.",0
2765.47,AUTO,799,1,2,"Cash and gold coins stolen from home safe, exact amounts approximate.",0
260.61,HEALTH,1016,1,0,Hailstorm on May 18 caused dents on the hood and cracked the windshield.,0
3521.25,HEALTH,1387,0,0,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at Riverside Medical.",0
677.21,HEALTH,295,0,1,"Deer collision on the highway near exit 57; airbag deployed, vehicle towed.",0
427.39,PROPERTY,322,0,0,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at City General.",0
1705.46,AUTO,323,0,1,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at St. Luke's.",0
1966.44,HEALTH,1392,0,1,"Deer collision on the highway near exit 11; airbag deployed, vehicle towed.",0
903.7,AUTO,139,1,0,"Kitchen fire started from an unattended pan, contained by smoke detector and extinguisher.",0
4150.7,AUTO,47,0,0,Water damage in the kitchen ceiling from a burst pipe in the upstairs bathroom on July 5.,0
472.4,AUTO,241,0,1,"Kitchen fire started from an unattended pan, contained by smoke detector and extinguisher.",0
1203.58,LIFE,1154,1,1,Hailstorm on June 24 caused dents on the hood and cracked the windshield.,0
1007.4,HEALTH,869,1,1,"Side-swipe accident on highway; dashcam footage available, other driver's insurance contacted.",0
1725.74,AUTO,1379,0,0,"Bicycle accident; broken collarbone, treated at Mercy General, X-rays and follow-up scheduled.",0
2389.56,HEALTH,307,1,1,"Minor parking lot collision at Costco; both drivers exchanged details, insurance info noted.",0
659.91,LIFE,591,1,1,"Burglary while on vacation; entry through the back window, electronics and jewellery taken, police report #PR-41662.",0
3730.44,PROPERTY,833,1,1,Lightning strike damaged HVAC unit on June 24; technician assessment attached.,0
1925.62,HEALTH,110,1,1,"Deer collision on the highway near exit 139; airbag deployed, vehicle towed.",0
272.61,AUTO,1377,1,0,Lightning strike damaged HVAC unit on June 24; technician assessment attached.,0
255.04,HEALTH,1207,0,0,"Kitchen fire started from an unattended pan, contained by smoke detector and extinguisher.",0
1785.91,PROPERTY,216,1,0,"Deer collision on the highway near exit 142; airbag deployed, vehicle towed.",0
1449.59,PROPERTY,1264,0,0,Car was damaged.,0
1630.4,PROPERTY,673,1,1,"Bicycle accident; broken collarbone, treated at City General, X-rays and follow-up scheduled.",0
1758.15,HEALTH,505,1,0,"Kitchen fire started from an unattended pan, contained by smoke detector and extinguisher.",0
2265.52,AUTO,1419,0,0,"Side-swipe accident on highway; dashcam footage available, other driver's insurance contacted.",0
4664.1,HEALTH,778,1,2,Backyard fence damaged by neighbour's tree falling during high winds on May 18.,0
595.2,AUTO,341,0,1,"House contents destroyed, fire of unknown origin, no smoke alarm activated.",1
560.05,AUTO,1214,0,1,"Bicycle accident; broken collarbone, treated at St. Luke's, X-rays and follow-up scheduled.",0
605.88,HEALTH,1073,1,0,"House contents destroyed, fire of unknown origin, no smoke alarm activated.",0
2413.7,HEALTH,288,0,0,Front-end collision when the other driver ran a red light at Oak Ave; police report filed.,0
6278.88,PROPERTY,1016,1,1,"Deer collision on the highway near exit 32; airbag deployed, vehicle towed.",0
1174.57,PROPERTY,943,0,0,"Broken items, unwitnessed accident at home.",0
148.16,PROPERTY,413,1,0,"Minor parking lot collision at Costco; both drivers exchanged details, insurance info noted.",0
328.98,PROPERTY,646,0,1,"Kitchen fire started from an unattended pan, contained by smoke detector and extinguisher.",0
786.01,PROPERTY,1259,0,0,"Burglary while on vacation; entry through the back window, electronics and jewellery taken, police report #PR-87780.",0
1035.12,AUTO,262,1,2,"Deer collision on the highway near exit 94; airbag deployed, vehicle towed.",0
1201.84,HEALTH,1083,1,0,"Broken items, unwitnessed accident at home.",1
1879.16,AUTO,1247,0,0,"Stolen valuables, all cash, no inventory list.",0
1323.79,AUTO,1405,1,0,"Deer collision on the highway near exit 60; airbag deployed, vehicle towed.",0
5163.34,AUTO,487,0,0,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at St. Luke's.",0
